"","times","sims","name","rank"
"bon plu.91",4150,0.0818886019918849,"bon plu","genus"
"ngo plu.11",150,0.0104745311058728,"ngo plu","genus"
"ngo plu.21",650,0.00470408780533882,"ngo plu","genus"
"ngo plu.31",1150,0.0481477553974422,"ngo plu","genus"
"ngo plu.41",1650,0.110518932863038,"ngo plu","genus"
"ngo plu.51",2150,0.221320934829179,"ngo plu","genus"
"ngo plu.61",2650,0.210459813040475,"ngo plu","genus"
"ngo plu.71",3150,0.208851219908346,"ngo plu","genus"
"ngo plu.81",3650,0.174235761481753,"ngo plu","genus"
"ngo plu.91",4150,0.0514995556105098,"ngo plu","genus"
"ngo plu.101",4650,0.132998462395378,"ngo plu","genus"
"ava plu.11",150,0.0120736720264608,"ava plu","genus"
"ava plu.21",650,0.0034772656458808,"ava plu","genus"
"ava plu.31",1150,0.0148380848402974,"ava plu","genus"
"ava plu.41",1650,0.0163418841863728,"ava plu","genus"
"ava plu.51",2150,0.129777389879409,"ava plu","genus"
"ava plu.61",2650,0.3075628620433,"ava plu","genus"
"ava plu.71",3150,0.148230934384283,"ava plu","genus"
"ava plu.81",4150,0.120612724132123,"ava plu","genus"
"ava plu.91",4650,0.155619596541787,"ava plu","genus"
"wai plu.11",150,0.00464334933943811,"wai plu","genus"
"wai plu.21",650,0.0160062460951425,"wai plu","genus"
"wai plu.31",1150,0.0492513152649529,"wai plu","genus"
"wai plu.41",1650,0.00413619203248494,"wai plu","genus"
"wai plu.51",2150,0.0182576294094877,"wai plu","genus"
"wai plu.61",3150,0.016654470211209,"wai plu","genus"
"wai plu.71",4150,0.0145887548300606,"wai plu","genus"
"wai plu.81",4650,0.0302886890676763,"wai plu","genus"
"fin plu.11",150,0.00293291952330554,"fin plu","genus"
"fin plu.21",650,0.00341957043619223,"fin plu","genus"
"fin plu.31",1150,0.0134438810058084,"fin plu","genus"
"fin plu.41",1650,0.00908352562439285,"fin plu","genus"
"fin plu.51",2150,0.0772881307992027,"fin plu","genus"
"fin plu.61",2650,0,"fin plu","genus"
"fin plu.71",3150,0,"fin plu","genus"
"fin plu.81",3650,0.0647408504567604,"fin plu","genus"
"fin plu.91",4150,0,"fin plu","genus"
"fin plu.101",4650,0.0397048842940169,"fin plu","genus"
"yac plu.11",150,0,"yac plu","genus"
"yac plu.21",650,0,"yac plu","genus"
"yac plu.31",1150,0,"yac plu","genus"
"yac plu.41",1650,0,"yac plu","genus"
"yac plu.51",2150,0.0244768581155312,"yac plu","genus"
"yac plu.61",2650,0,"yac plu","genus"
"yac plu.71",3150,0,"yac plu","genus"
"yac plu.81",3650,0,"yac plu","genus"
"yac plu.91",4150,0,"yac plu","genus"
"yac plu.101",4650,0,"yac plu","genus"
"vol plu.11",150,0.0041166402158006,"vol plu","genus"
"vol plu.21",650,0.00143197685881102,"vol plu","genus"
"vol plu.31",1150,0.0205588912239426,"vol plu","genus"
"vol plu.41",2650,0.74027732099069,"vol plu","genus"
"vol plu.51",3650,0.615765046640322,"vol plu","genus"
