"","Cal_yrs_BP","min","max","Acrostichum","Alphitonia","Amaranthaceae","Anacardiaceae","Apiaceae","Araceae","Arecaceae","Asteraceae","Bischofia","Burseraceae","Calophyllum","Casuarina","cf. Ailanthus","cf. Araliaceae","cf. Calamus","cf. Celtis","cf. Clerodendrum","cf. Clethra","cf. Cycas","cf. Desmodium","cf. Diospyros","cf. Entada","cf. Geraniaceae","cf. Maesa","cf. Maniltoa","cf. Maytenus","cf. Neonauclea","cf. Onagraceae","cf. Rosaceae","cf. Senna","cf. Sterculia","Cocos","Combretaceae/Melastromataceae","Cyperaceae","Dracaena","Dysoxylum","Elaeocarpus","Elattostachys","Euphorbiaceae","Excoecaria","Fabaceae","Ficus","Freycinetia","Glochidion","Grewia","Hedycarya","Homalanthus","Homalium","Ixora","Loranthaceae","Macaranga","Malpighiaceae","Malvaceae","Melastromataceae/Sapotaceae","Microsorum","Monolete echinate","Monolete spores","Moraceae/Urticaceae","Oleaceae","Pandanus","Phyllanthaceae","Poaceae","Polygonaceae","Polypodium","Rhamnaceae","Rhizophoraceae","Rhus","Rubiaceae","Sapotaceae","Stenochlaena","Syzygium","Trema","Trilete spores","Vitaceae"
"44",5694,5371,5959,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,72,9,0,5,0,27,10,1,0
"45",5840,5527,6118,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,4,13,0,0,0,0,0,0,1,0,3,0,0,1,2,0,6,2,0,0,0,1,0,0,0,35,6,0,4,0,14,13,0,0
"46",5935,5617,6223,0,0,0,0,0,0,1,0,4,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,36,0,1,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,2,0,0,0,0,2,0,0,0,47,5,0,0,0,32,11,0,0
"47",6018,5699,6304,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,19,0,0,0,3,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,27,6,0,0,0,14,8,0,0
"48",6092,5772,6391,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,1,18,0,0,0,7,0,0,0,0,0,2,0,0,1,4,0,0,0,3,0,3,0,0,1,0,0,0,0,0,68,7,0,1,0,21,6,1,0
"49",6186,5865,6493,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,30,0,0,0,4,0,0,0,0,0,1,0,0,1,5,0,0,0,3,0,10,0,0,0,0,0,1,0,5,45,16,1,0,1,7,25,0,0
"50",6282,5961,6592,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,3,0,0,0,0,1,0,0,0,46,17,0,0,0,11,4,0,0
"51",6385,6063,6691,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,36,0,0,0,3,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,99,9,0,2,0,34,27,0,0
"52",6416,6093,6719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,40,12,0,3,0,2,4,0,0
"53",6448,6123,6753,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28,3,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,9,2,0,0,0,0,0,0,0,43,6,0,1,1,16,18,0,0
"54",6586,6266,6885,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,50,2,0,0,0,4,5,0,0
"55",6722,6411,7017,0,0,0,0,0,0,9,0,0,6,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,26,0,0,0,6,0,0,0,0,0,0,6,1,0,5,0,0,2,8,0,27,0,0,1,1,1,0,0,1,190,5,1,1,0,31,34,2,0
"56",6899,6600,7180,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,1,0,2,0,3,6,0,0
"57",6983,6688,7253,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,1,44,0,0,1,0,11,37,1,0
"58",7076,6792,7336,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,5,0,0,0,3,0,0,2,0,0,0,0,0,0,4,0,0,0,3,0,48,0,0,0,0,1,0,0,0,64,3,0,4,0,9,14,0,0
"59",7171,6898,7418,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,2,0,13,2,0,2,10,0,0,0,12,0,0,0,0,0,1,0,0,0,2,0,0,0,9,0,21,0,0,0,2,13,2,0,1,158,2,0,8,0,25,31,1,0
"60",7341,7093,7564,0,0,0,2,0,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,10,0,0,3,0,0,0,0,0,0,2,0,0,0,22,2,114,0,0,0,0,1,10,0,0,35,17,0,9,0,10,2,0,0
"61",7434,7213,7632,0,0,0,0,0,0,8,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,1,2,0,0,0,8,0,0,0,1,0,1,7,1,0,3,0,0,4,7,0,13,0,0,0,0,5,7,0,0,98,12,0,2,0,25,25,3,0
