,times,sims,name,group,type,order
654,4650,0.035012808,vol fin,neither,Standardisation 1,neither (Stand. 1)
662,3650,0.029100583,bon fin,neither,Standardisation 1,neither (Stand. 1)
663,4150,0,bon fin,neither,Standardisation 1,neither (Stand. 1)
671,3650,0.038010333,tag fin,neither,Standardisation 1,neither (Stand. 1)
672,4150,0,tag fin,neither,Standardisation 1,neither (Stand. 1)
673,4650,0.039646884,tag fin,neither,Standardisation 1,neither (Stand. 1)
680,3650,0.037157817,lou fin,neither,Standardisation 1,neither (Stand. 1)
681,4150,0.001096491,lou fin,neither,Standardisation 1,neither (Stand. 1)
682,4650,0.005745993,lou fin,neither,Standardisation 1,neither (Stand. 1)
688,3650,0.08301157,lan fin,neither,Standardisation 1,neither (Stand. 1)
689,4150,0.021541634,lan fin,neither,Standardisation 1,neither (Stand. 1)
690,4650,0.09609998,lan fin,neither,Standardisation 1,neither (Stand. 1)
695,3650,0.039066869,ano fin,neither,Standardisation 1,neither (Stand. 1)
696,4150,0,ano fin,neither,Standardisation 1,neither (Stand. 1)
697,4650,0,ano fin,neither,Standardisation 1,neither (Stand. 1)
704,3650,0.055479277,bon vol,neither,Standardisation 1,neither (Stand. 1)
705,4150,0.049831122,bon vol,neither,Standardisation 1,neither (Stand. 1)
712,3650,0.033428019,tag vol,neither,Standardisation 1,neither (Stand. 1)
713,4150,0.042612012,tag vol,neither,Standardisation 1,neither (Stand. 1)
714,4650,0.047425376,tag vol,neither,Standardisation 1,neither (Stand. 1)
720,3650,0.082285303,lou vol,neither,Standardisation 1,neither (Stand. 1)
721,4150,0.094521531,lou vol,neither,Standardisation 1,neither (Stand. 1)
722,4650,0.104870175,lou vol,neither,Standardisation 1,neither (Stand. 1)
727,3650,0.041970502,lan vol,neither,Standardisation 1,neither (Stand. 1)
728,4150,0.07516764,lan vol,neither,Standardisation 1,neither (Stand. 1)
729,4650,0.071890267,lan vol,neither,Standardisation 1,neither (Stand. 1)
733,3650,0.071319477,ano vol,neither,Standardisation 1,neither (Stand. 1)
734,4150,0.030189929,ano vol,neither,Standardisation 1,neither (Stand. 1)
735,4650,0.023120014,ano vol,neither,Standardisation 1,neither (Stand. 1)
743,3650,0.262820698,tag bon,neither,Standardisation 1,neither (Stand. 1)
744,4150,0.296442129,tag bon,neither,Standardisation 1,neither (Stand. 1)
751,3650,0.132195723,lou bon,neither,Standardisation 1,neither (Stand. 1)
752,4150,0.121816954,lou bon,neither,Standardisation 1,neither (Stand. 1)
758,3650,0.079816218,lan bon,neither,Standardisation 1,neither (Stand. 1)
759,4150,0.127044682,lan bon,neither,Standardisation 1,neither (Stand. 1)
764,3650,0.070753113,ano bon,neither,Standardisation 1,neither (Stand. 1)
765,4150,0.041825095,ano bon,neither,Standardisation 1,neither (Stand. 1)
772,3650,0.097825335,lou tag,neither,Standardisation 1,neither (Stand. 1)
773,4150,0.150578266,lou tag,neither,Standardisation 1,neither (Stand. 1)
774,4650,0.220065288,lou tag,neither,Standardisation 1,neither (Stand. 1)
780,3650,0.304865908,lan tag,neither,Standardisation 1,neither (Stand. 1)
781,4150,0.342836774,lan tag,neither,Standardisation 1,neither (Stand. 1)
782,4650,0.304265213,lan tag,neither,Standardisation 1,neither (Stand. 1)
787,3650,0.084082945,ano tag,neither,Standardisation 1,neither (Stand. 1)
788,4150,0.025680392,ano tag,neither,Standardisation 1,neither (Stand. 1)
789,4650,0.055045794,ano tag,neither,Standardisation 1,neither (Stand. 1)
795,3650,0.056929194,lan lou,neither,Standardisation 1,neither (Stand. 1)
796,4150,0.131675766,lan lou,neither,Standardisation 1,neither (Stand. 1)
797,4650,0.16650169,lan lou,neither,Standardisation 1,neither (Stand. 1)
802,3650,0.079791263,ano lou,neither,Standardisation 1,neither (Stand. 1)
803,4150,0.082544553,ano lou,neither,Standardisation 1,neither (Stand. 1)
804,4650,0.105515188,ano lou,neither,Standardisation 1,neither (Stand. 1)
808,3650,0.004132231,ano lan,neither,Standardisation 1,neither (Stand. 1)
809,4150,0.004692892,ano lan,neither,Standardisation 1,neither (Stand. 1)
810,4650,0.001131222,ano lan,neither,Standardisation 1,neither (Stand. 1)
10,1150,0.04375,wai aro,neither,Standardisation 1,neither (Stand. 1)
11,1650,0.002967359,wai aro,neither,Standardisation 1,neither (Stand. 1)
12,3150,0.002808989,wai aro,neither,Standardisation 1,neither (Stand. 1)
16,1150,0.004444444,tuk aro,neither,Standardisation 1,neither (Stand. 1)
17,3150,0.015625,tuk aro,neither,Standardisation 1,neither (Stand. 1)
204,1150,0.013333333,tuk wai,neither,Standardisation 1,neither (Stand. 1)
205,2150,0.030989304,tuk wai,neither,Standardisation 1,neither (Stand. 1)
206,3150,0.057291667,tuk wai,neither,Standardisation 1,neither (Stand. 1)
7100,4650,0.088452026,ngo aro,neither,Standardisation 2,neither (Stand. 2)
1310,4650,0,wai aro,neither,Standardisation 2,neither (Stand. 2)
3010,4650,0.088154911,ava aro,neither,Standardisation 2,neither (Stand. 2)
3710,4650,0.094679994,plu aro,neither,Standardisation 2,neither (Stand. 2)
4410,4650,0,lot aro,neither,Standardisation 2,neither (Stand. 2)
5110,4650,0.00476943,fin aro,neither,Standardisation 2,neither (Stand. 2)
