"","times","sims","name","rank"
"ano yac.41",3150,0,"ano yac","genus"
"ano yac.51",3650,0.0293369789025001,"ano yac","genus"
"ano yac.61",4150,0,"ano yac","genus"
"plu ava.11",150,0.012108954406047,"plu ava","genus"
"plu ava.21",650,0.00348417248402677,"plu ava","genus"
"plu ava.31",1150,0.0152587829581021,"plu ava","genus"
"plu ava.41",1650,0.0166985091251141,"plu ava","genus"
"plu ava.51",2150,0.132024653162214,"plu ava","genus"
"plu ava.61",2650,0.306462014703986,"plu ava","genus"
"plu ava.71",3150,0.127919402415733,"plu ava","genus"
"plu ava.81",4150,0.114733291372982,"plu ava","genus"
"plu ava.91",4650,0.146639511201629,"plu ava","genus"
"lot ava.11",150,0.00545513680927834,"lot ava","genus"
"lot ava.21",650,0.0823258416803599,"lot ava","genus"
"lot ava.31",1150,0.0309082511254999,"lot ava","genus"
"lot ava.41",1650,0.16248642246768,"lot ava","genus"
"lot ava.51",2150,0.0110697773279161,"lot ava","genus"
"lot ava.61",2650,0.00523957862513869,"lot ava","genus"
"lot ava.71",3150,0,"lot ava","genus"
"lot ava.81",4150,0.150641994679267,"lot ava","genus"
"lot ava.91",4650,0.0826798438385181,"lot ava","genus"
"fin ava.11",150,0.0725429432446748,"fin ava","genus"
"fin ava.21",650,0.128983711615198,"fin ava","genus"
"fin ava.31",1150,0.0953661400357286,"fin ava","genus"
"fin ava.41",1650,0.0677543198415983,"fin ava","genus"
"fin ava.51",2150,0.0531255567308715,"fin ava","genus"
"fin ava.61",2650,0,"fin ava","genus"
"fin ava.71",3150,0,"fin ava","genus"
"fin ava.81",4150,0.0173715653158134,"fin ava","genus"
"fin ava.91",4650,0.116972808150879,"fin ava","genus"
"vol ava.11",150,0.369440378765056,"vol ava","genus"
"vol ava.21",650,0.346069475182561,"vol ava","genus"
"vol ava.31",1150,0.395162256017244,"vol ava","genus"
"vol ava.41",2150,0.295052660215304,"vol ava","genus"
"vol ava.51",2650,0.215809003261819,"vol ava","genus"
"vol ava.61",3150,0.178679131483715,"vol ava","genus"
"vol ava.71",4150,0.0509320738661729,"vol ava","genus"
"vol ava.81",4650,0.0816761491241352,"vol ava","genus"
"bon ava.11",150,0.336600335680613,"bon ava","genus"
"bon ava.21",650,0.39484635687838,"bon ava","genus"
"bon ava.31",1150,0.132601351097809,"bon ava","genus"
"bon ava.41",1650,0.0329825902592247,"bon ava","genus"
"bon ava.51",2150,0.0858224764309351,"bon ava","genus"
"bon ava.61",2650,0.0470731411068707,"bon ava","genus"
"bon ava.71",3150,0.11554604246477,"bon ava","genus"
"bon ava.81",4150,0.0897983261026112,"bon ava","genus"
"tag ava.11",150,0.200794728024751,"tag ava","genus"
