original,standardisation_1,standardisation_1_reason,standardisation_2,standardisation_2_reason
Cyathaceae undif.,Cyatheaceae,spelling and removed notation,Cyatheaceae,removed notation
Cyathea,Cyathea,,Cyathea,
Cyatheaceae,Cyatheaceae,,Cyatheaceae,
Cyathula comp.,Achyranthes,synonym and removed notation,Amaranthaceae,aggregated up
Cyclophyllum barbatum,Cyclophyllum barbatum,,Cyclophyllum barbatum,
CYPERACEAE,Cyperaceae,,Cyperaceae,
Cyperaceae,Cyperaceae,,Cyperaceae,
Cyperaceae (type 1),Cyperaceae,removed notation,Cyperaceae,removed notation
Cyperaceae Cyperus comp.,Cyperus,removed notation,Cyperaceae,aggregated up
Cyperaceae Scirpus comp.,Scirpus,removed notation,Cyperaceae,aggregated up
Cyperaceae undif.,Cyperaceae,removed notation,Cyperaceae,removed notation
Cyperus,Cyperus,,Cyperus,
Cyrtandra,Cyrtandra,,Cyrtandra,
Dacrycarpus,Dacrycarpus,,Dacrycarpus,
Dacrycarpus dacrydioides,Dacrycarpus dacrydioides,,Dacrycarpus dacrydioides,
Dacrydium,Dacrydium,,Dacrydium,
Dacrydium cupressinum,Dacrydium cupressinum,,Dacrydium cupressinum,
Dam/deg,remove,uncertain type,remove,uncertain type
Damaged/Crumpled,remove,uncertain type,remove,uncertain type
Debarya Type,remove,not pollen/spore,remove,not pollen/spore
Decaspermum,Decaspermum,,Decaspermum,
Desmodium,Desmodium,,Desmodium,
Desmodium Type ?,Desmodium,removed notation,Fabaceae,aggregated up
Dianella,Dianella,,Dianella,
Dicksonia,Dicksonia,,Dicksonia,
Dicranopteris,Dicranopteris,,Dicranopteris,
Dicranopteris linearis,Dicranopteris linearis,,Dicranopteris linearis,
Dillenia,Dillenia,,Dillenia,
DILLENIACEAE,Dilleniaceae,,Dilleniaceae,
Dilleniaceae,Dilleniaceae,,Dilleniaceae,
Diospyros,Diospyros,,Diospyros,
Dodonaea,Dodonaea,,Dodonaea,
Dodonaea Type,Dodonaea,removed notation,Sapindaceae,aggregated up
Dodonaea viscosa,Dodonaea viscosa,,Dodonaea viscosa,
Dodonea,Dodonaea,spelling,Dodonaea,spelling
